IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
152.70.155.147,4,4,0.00,193.41,16.55
152.70.155.147,4,4,0.00,190.92,15.40
152.67.203.34,4,4,0.00,197.11,14.31
155.248.182.161,4,4,0.00,171.35,12.84
152.67.251.232,4,4,0.00,164.57,12.72
8.220.134.136,4,4,0.00,74.33,12.25
152.70.155.147,4,4,0.00,195.77,11.61
152.70.155.147,4,4,0.00,198.47,10.03
152.70.155.147,4,4,0.00,192.92,9.70
141.147.185.15,4,4,0.00,193.21,6.94
152.70.155.147,4,4,0.00,198.68,6.80
141.147.147.180,4,4,0.00,193.20,6.30
141.147.185.63,4,4,0.00,188.51,6.19
150.230.63.93,4,4,0.00,181.37,6.19
141.148.187.195,4,4,0.00,197.12,5.86
158.101.80.84,4,4,0.00,173.94,5.74
141.147.188.120,4,4,0.00,192.78,5.52
141.147.168.141,4,4,0.00,192.44,4.85
